LOCALE ID	LOCALE ABBV	LOCALE NAMES
001	ARIZ	Arizona
002	COL	Colorado
003	HAW	Hawaii
004	NLA	North Los Angeles
005	CLA	Central Los Angeles
006	LV	Las Vegas
007	SD	San Diego
008	SFB	SF Bay Area
009	SAC	Sacramento
010	SEA	Seattle
011	REN	Reno
012	CALG	Calgary
013	EDM	Edmonton
014	VAN	Vancouver
015	WIN	Winnipeg
016	GPY	Grande Prairie and Yellow Knife
017	REG	Regina
018	RD	Red Deer
019	FMM	Fort McMurray
020	SAS	Saskatoon
021	CI	Cayman Islands
022	CHI	Chicago
023	IND	Indiana
024	MAS	Massachusetts
025	FLO	Florida
026	MAR	Maryland
027	NY	New York
028	JC	Jersey City
029	SJ	South Jersey
030	VB	Virginia Beach
031 T-DA	Texas - Dallas
032	T-AU	Texas - Austin
033	T-HO	Texas - Houston
034	TOR	Toronto
035	MON	Montreal
036	BRAM	Brampton/London
037	SCAR	Scarborough
038	NB	New Brunswick